Datetime,PM10 (μg/m³),PM2.5 (μg/m³),CO (μg/m³),NO2 (μg/m³),SO2 (μg/m³),O3  (μg/m³),Temp (°C),Humidity (%),Wind_Speed (km/h),Soil_Moisture (m³/m³),AQI
2022-09-10 05:00:00,0.27309236947791166,0.2828685258964144,0.16937799043062202,0.055045871559633024,0.37037037037037035,0.2121212121212121,0.6255506607929515,0.8157894736842105,0.24444444444444446,0.9817073170731707,0.4552845528455285
2022-09-10 06:00:00,0.28112449799196787,0.2928286852589642,0.17607655502392344,0.04587155963302752,0.2777777777777778,0.28787878787878785,0.66079295154185,0.7763157894736842,0.21111111111111108,0.975609756097561,0.4552845528455285
2022-09-10 07:00:00,0.2931726907630522,0.30478087649402397,0.16842105263157894,0.03363914373088685,0.2222222222222222,0.36363636363636365,0.7048458149779734,0.7236842105263158,0.24444444444444446,0.9695121951219512,0.4552845528455285
2022-09-10 08:00:00,0.27710843373493976,0.2868525896414343,0.16267942583732056,0.030581039755351678,0.18518518518518517,0.4545454545454546,0.7709251101321585,0.631578947368421,0.48888888888888893,0.9603658536585364,0.4552845528455285
2022-09-10 09:00:00,0.25167336010709507,0.2609561752988048,0.16267942583732056,0.05198776758409785,0.14814814814814814,0.5151515151515151,0.73568281938326,0.6973684210526315,0.6,0.9542682926829267,0.4552845528455285
2022-09-10 10:00:00,0.2744310575635877,0.2848605577689243,0.15980861244019137,0.05810397553516818,0.14814814814814814,0.5757575757575758,0.7180616740088105,0.7236842105263158,0.5222222222222223,0.9512195121951219,0.4552845528455285
2022-09-10 11:00:00,0.29049531459170014,0.302788844621514,0.15980861244019137,0.07033639143730885,0.16666666666666666,0.6212121212121212,0.7004405286343612,0.7368421052631579,0.37777777777777777,0.9481707317073169,0.4552845528455285
2022-09-10 12:00:00,0.2583668005354753,0.26892430278884466,0.21531100478468898,0.2201834862385321,0.20370370370370372,0.6363636363636364,0.7004405286343612,0.7105263157894736,0.12222222222222223,0.9298780487804876,0.4552845528455285
2022-09-10 13:00:00,0.39357429718875503,0.4103585657370519,0.32153110047846895,0.5015290519877674,0.25925925925925924,0.6363636363636364,0.6211453744493391,0.8684210526315789,0.2777777777777778,0.9390243902439024,0.4552845528455285
2022-09-10 14:00:00,0.47925033467202144,0.49800796812749015,0.4727272727272728,0.9021406727828745,0.32407407407407407,0.6363636363636364,0.6123348017621145,0.8947368421052632,0.25555555555555554,0.9390243902439024,0.4552845528455285
2022-09-10 18:00:00,0.3815261044176707,0.39641434262948216,0.5473684210526316,0.9051987767584098,0.4351851851851852,0.43939393939393934,0.5682819383259912,0.9342105263157895,0.12222222222222223,0.9786585365853657,0.4390243902439025
2022-09-10 19:00:00,0.38018741633199465,0.39641434262948216,0.5473684210526316,0.8409785932721712,0.47222222222222215,0.3939393939393939,0.5594713656387665,0.9210526315789472,0.19999999999999998,0.975609756097561,0.4390243902439025
2022-09-10 20:00:00,0.38821954484605087,0.404382470119522,0.5559808612440191,0.7981651376146789,0.5185185185185185,0.3484848484848485,0.5374449339207048,0.9473684210526315,0.23333333333333334,0.975609756097561,0.43089430894308944
2022-09-10 21:00:00,0.4109772423025435,0.4282868525896415,0.5655502392344498,0.7461773700305809,0.5648148148148148,0.3181818181818182,0.5242290748898678,0.9736842105263158,0.21111111111111108,0.9664634146341462,0.43089430894308944
2022-09-10 22:00:00,0.43105756358768405,0.4482071713147411,0.5722488038277512,0.7094801223241589,0.5925925925925926,0.28787878787878785,0.49339207048458145,0.9736842105263158,0.12222222222222223,0.9603658536585364,0.43089430894308944
2022-09-10 23:00:00,0.44042838018741637,0.4581673306772909,0.5789473684210527,0.6819571865443425,0.6203703703703703,0.25757575757575757,0.4889867841409691,0.9605263157894736,0.25555555555555554,0.9573170731707317,0.4227642276422765
2022-09-11 00:00:00,0.4966532797858099,0.5159362549800798,0.5933014354066986,0.6758409785932721,0.6296296296296295,0.25757575757575757,0.5418502202643171,0.9342105263157895,0.19999999999999998,0.9298780487804876,0.4227642276422765
2022-09-11 01:00:00,0.5823293172690762,0.605577689243028,0.5138755980861245,0.5412844036697246,0.6203703703703703,0.25757575757575757,0.5638766519823788,0.9342105263157895,0.12222222222222223,0.9268292682926829,0.4227642276422765
2022-09-11 02:00:00,0.40160642570281124,0.41633466135458175,0.4,0.34862385321100914,0.5833333333333333,0.2727272727272727,0.5991189427312774,0.8421052631578948,0.044444444444444446,0.9268292682926829,0.4227642276422765
2022-09-11 03:00:00,0.357429718875502,0.3725099601593626,0.27846889952153114,0.13761467889908255,0.5277777777777778,0.28787878787878785,0.6519823788546254,0.7894736842105262,0.12222222222222223,0.9237804878048779,0.4227642276422765
2022-09-11 04:00:00,0.3668005354752343,0.38047808764940244,0.24306220095693779,0.07339449541284403,0.4444444444444444,0.3333333333333333,0.7312775330396474,0.7105263157894736,0.35555555555555557,0.9207317073170733,0.43089430894308944
2022-09-11 05:00:00,0.36947791164658633,0.38645418326693237,0.23349282296650717,0.055045871559633024,0.3518518518518518,0.3787878787878788,0.788546255506608,0.6710526315789473,0.39999999999999997,0.9146341463414636,0.43089430894308944
2022-09-11 06:00:00,0.36010709504685406,0.37450199203187257,0.2287081339712919,0.048929663608562685,0.25,0.43939393939393934,0.8149779735682817,0.6052631578947368,0.14444444444444443,0.9115853658536586,0.4390243902439025
2022-09-11 07:00:00,0.3279785809906292,0.3406374501992033,0.21818181818181817,0.048929663608562685,0.19444444444444445,0.5,0.7136563876651981,0.6973684210526315,0.5888888888888888,0.9847560975609755,0.4390243902439025
2022-09-11 08:00:00,0.3427041499330656,0.35657370517928294,0.2095693779904306,0.05810397553516818,0.14814814814814814,0.5757575757575758,0.7092511013215858,0.6973684210526315,0.5,0.9847560975609755,0.4390243902439025
2022-09-11 09:00:00,0.37349397590361444,0.3884462151394423,0.2124401913875598,0.1039755351681957,0.12037037037037036,0.6212121212121212,0.6740088105726871,0.7631578947368421,0.21111111111111108,0.9786585365853657,0.44715447154471544
2022-09-11 10:00:00,0.3962516733601071,0.4123505976095618,0.2229665071770335,0.15902140672782872,0.12962962962962962,0.696969696969697,0.7136563876651981,0.7236842105263158,0.26666666666666666,0.9695121951219512,0.44715447154471544
2022-09-11 11:00:00,0.40160642570281124,0.41633466135458175,0.24210526315789474,0.22935779816513757,0.16666666666666666,0.7575757575757576,0.7400881057268721,0.6842105263157895,0.24444444444444446,0.9634146341463414,0.4552845528455285
2022-09-11 12:00:00,0.3467202141900937,0.36055776892430286,0.25358851674641153,0.2813455657492354,0.23148148148148145,0.7272727272727273,0.6651982378854625,0.7499999999999999,0.14444444444444443,0.9542682926829267,0.4552845528455285
2022-09-11 13:00:00,0.4390896921017403,0.45617529880478097,0.32440191387559814,0.46177370030581033,0.23148148148148145,0.696969696969697,0.5991189427312774,0.8552631578947368,0.3,0.9512195121951219,0.46341463414634154
2022-09-11 14:00:00,0.464524765729585,0.4840637450199204,0.42583732057416274,0.7155963302752292,0.25,0.6363636363636364,0.5770925110132158,0.8947368421052632,0.3222222222222222,0.9481707317073169,0.46341463414634154
2022-09-11 15:00:00,0.4149933065595716,0.4322709163346614,0.5301435406698565,0.9633027522935779,0.2685185185185185,0.6060606060606061,0.5594713656387665,0.9342105263157895,0.4444444444444444,0.9451219512195121,0.46341463414634154
2022-09-11 16:00:00,0.39357429718875503,0.4103585657370519,0.5511961722488039,0.9908256880733943,0.2962962962962963,0.5454545454545454,0.5330396475770924,0.9605263157894736,0.4444444444444444,0.9420731707317072,0.46341463414634154
2022-09-11 17:00:00,0.38821954484605087,0.404382470119522,0.5444976076555025,0.9357798165137614,0.3425925925925926,0.5,0.5154185022026432,0.9473684210526315,0.2777777777777778,0.9390243902439024,0.46341463414634154
2022-09-11 18:00:00,0.4069611780455154,0.4243027888446216,0.5406698564593302,0.8654434250764526,0.3981481481481481,0.4696969696969697,0.5110132158590308,0.9342105263157895,0.24444444444444446,0.9390243902439024,0.46341463414634154
2022-09-11 19:00:00,0.429718875502008,0.4462151394422312,0.5617224880382775,0.856269113149847,0.47222222222222215,0.4242424242424242,0.5066079295154183,0.9210526315789472,0.24444444444444446,0.9359756097560974,0.46341463414634154
2022-09-11 20:00:00,0.45113788487282463,0.4701195219123507,0.5904306220095694,0.8532110091743118,0.5462962962962963,0.3939393939393939,0.4977973568281937,0.9210526315789472,0.28888888888888886,0.9359756097560974,0.46341463414634154
2022-09-11 21:00:00,0.464524765729585,0.4840637450199204,0.6172248803827751,0.8318042813455656,0.6296296296296295,0.3484848484848485,0.4889867841409691,0.9342105263157895,0.36666666666666664,0.9329268292682926,0.46341463414634154
2022-09-11 22:00:00,0.46854082998661306,0.4880478087649403,0.6277511961722488,0.7981651376146789,0.6759259259259258,0.3181818181818182,0.48017621145374445,0.9342105263157895,0.36666666666666664,0.9329268292682926,0.46341463414634154
2022-09-11 23:00:00,0.464524765729585,0.4860557768924304,0.630622009569378,0.7553516819571864,0.7037037037037036,0.30303030303030304,0.48017621145374445,0.9342105263157895,0.24444444444444446,0.9298780487804876,0.4715447154471545
